sku,parent_sku,product_group_id,group_key,grouping_confidence,status,record_state,active,brand,catalog_line,category_primary,series,series_code,volume,work_title,product_kind,product_type,instrument,voice,transposition,register,clef,ensemble,scoring,voice_count,format,title_full,title_short,code_short,description,content_status,content_source,bullet_point_1,bullet_point_2,bullet_point_3,bullet_point_4,bullet_point_5,tags,price_net,vat_percent,price_gross,currency,price_source,stock_on_hand,stock_enabled,weight_grams,isbn13,isbn10,ean,asin,asin_source,asin_verified,fnsku,fnsku_status,amazon_seller_sku,amazon_status,amazon_product_type,amazon_product_id_type,amazon_product_id,amazon_fulfillment,amazon_quantity,amazon_title,amazon_item_name,amazon_description_html,wix_handle_id,wix_visible,wix_collections,wix_media_urls,wix_description_html,erp_category,source_title_xlsx,source_title_wix,source_title_erp,title_source,source_of_truth,sot_row,conflict_flags,conflict_notes
XW-4042,,696ffc49-73cb-535c-9f37-970cfd700ce2,WORK|vorgestern,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,Vorgestern,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,Vorgestern [7-stimmig],Vorgestern [7st],VORGESTERN_7ST,Vorgestern [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vorgestern,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,48,,
XW-4043,,ed18788a-f7ca-58bf-940a-198c47a733ef,WORK|zadok the priest,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,Zadok The Priest,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,Zadok The Priest [7-stimmig],Zadok The Priest [7st],ZADOK_THE_PRIEST_7ST,Zadok The Priest [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zadok The Priest,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,49,,
XW-4044,,0255a4e1-5201-5505-913c-4cc6fe8d2be2,WORK|aeronauten marsch,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,Aeronauten-Marsch,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,Aeronauten-Marsch [7-stimmig],Aeronauten-Marsch [7st],AERONAUTEN_MARSCH_7ST,Aeronauten-Marsch [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeronauten-Marsch,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,50,,
XW-4045,,509b303e-56d5-58de-8eb4-19929efca6dc,WORK|gabriella s song,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,Gabriella's Song,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,Gabriella's Song [7-stimmig],Gabriella's Song [7st],GABRIELLA_S_SONG_7ST,Gabriella's Song [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabriella's Song,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,51,,
XW-4046,,0a2c9e2e-d74c-5565-a583-3701430979c9,WORK|the lion sleeps tonight,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,The Lion sleeps tonight,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,The Lion sleeps tonight [7-stimmig],The Lion sleeps tonight [7st],THE_LION_SLEEPS_TONIGHT_7ST,The Lion sleeps tonight [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Lion sleeps tonight,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,52,,
XW-4047,,6190eeb5-0cda-5f7a-a368-dea81584b513,WORK|kannst du knoedel kochen,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,Kannst du Knödel kochen,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,Kannst du Knödel kochen [7-stimmig],Kannst du Knödel kochen [7st],KANNST_DU_KNOEDEL_KOCHEN_7ST,Kannst du Knödel kochen [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kannst du Knödel kochen,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,53,,
XW-4048,,a7aeaa11-7003-5e9b-9d24-a88b95b1fcf7,WORK|entschwunden,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,Entschwunden,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,Entschwunden [7-stimmig],Entschwunden [7st],ENTSCHWUNDEN_7ST,Entschwunden [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entschwunden,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,54,,
XW-4049,,2e4b3723-64bf-5648-9e36-acda528b64a6,WORK|6 kl stuecke z umr,EXACT_NORMALIZED_TITLE,live,ACTIVE,true,,Blech-7er,Noten,,,,6 kl. Stücke z. Umr…,SCORE,physical,,,,,,,7-stimmig,7,PHYSICAL,6 kl. Stücke z. Umr… [7-stimmig],6 kl. Stücke z. Umr… [7st],6_KL_STUECKE_Z_UMR_7ST,6 kl. Stücke z. Umr… [7-stimmig] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Stimmigkeit/Satz: 7-stimmig,Format: PHYSICAL,,,,,,10.00,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 kl. Stücke z. Umr…,,,XLSX_SOT,Produktpalette(1).xlsx:XeisWorks,55,,
XW-405,,cd9c8d65-3a51-5a1c-bae0-f60055401d80,WORK|bin s a junger witwer,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Blech-7er,Noten,,,,Bin's a junger Witwer,SCORE,physical,,,,,,,,,PHYSICAL,Bin's a junger Witwer,Bin's a junger Witwer,BIN_S_A_JUNGER_WITWER,"Volksweise
Arr.: da Blechhauf'n",SOURCE,WIX,Arr.: da Blechhauf'n,,,,,B2B,19.91,10.00,21.90,EUR,ERP_NET,3.00,true,175.0,,,,,,,,,,,,,,,,,,,product_b6107e39-0464-534f-b55e-e7df3c85b405,true,Blechhauf'n|B2B|Brass_7stimmig|BH - VorÜbermorgen,4f718e_6d1aa15c31964027a6afd34703b093fd~mv2.jpg|4f718e_7855658699a447daa3407e27c0823211~mv2.jpg|4f718e_93c9c94cf8fc4cd28e216ac280bed480~mv2.jpg|4f718e_e53a5dd5382a496899911e5fe32f50b9,<p><strong>Volksweise</strong></p><p>Arr.: da Blechhauf'n</p>,Cumulus_Physisch,,Bin's a junger Witwer,Bin's a junger Witwer,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
XW-405.2,,cd9c8d65-3a51-5a1c-bae0-f60055401d80,WORK|bin s a junger witwer,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Blech-7er,Noten,,,,Bin's a junger Witwer,SCORE,physical,,,,,,,,,PHYSICAL,Bin's a junger Witwer,Bin's a junger Witwer,BIN_S_A_JUNGER_WITWER,Bin's a junger Witwer ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,,,,,,19.91,10.00,21.90,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,,,,,,Cumulus_Physisch,,,Bin's a junger Witwer,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
